E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha
-60685701.116242364,216683058014.19666,0.20880871955771627,1.192072388193008e-05,4.991385425377159e-09,766.1679057327209,20.666784096527188,0.01316591465434237
-56650979.24678229,231895374625.56073,0.2516782698801554,1.3094907925959477e-05,3.759950320721429e-09,972.0128408076932,22.210384116776098,0.009691606678667246
-61509356.44379156,159423857283.0023,0.355107143908838,8.504602050042915e-06,6.162151049227099e-09,882.5552083113826,22.192536038930726,0.010827087916176776
-57792809.377243325,225453294999.41888,0.27221275829064817,1.098944812127545e-05,5.230493227575827e-09,834.0389142544809,20.451957573707944,0.017414899316256862
-71236309.49677636,246998821586.9013,0.23089215187859535,1.0832037887093162e-05,6.372657255907927e-09,752.5038771352588,27.277090570358354,0.016966905163908856
-87940427.03453164,192211127131.0938,0.27752281038961396,7.193452812435102e-06,5.419080225199468e-09,1120.7477923228507,18.175845451640132,0.015847065538320937
-59101380.0145388,256910308214.04898,0.3760763930434443,8.053343478732443e-06,3.5125462982444e-09,1070.4140663420535,19.483998326192133,0.016685861424291248
-83156214.75990076,248645389962.11664,0.27326345157813253,8.732597052268379e-06,4.933133148760193e-09,822.537232597595,24.52614062270664,0.01630648653195971
-58932510.89115764,162840158222.19974,0.3202489572350812,1.1455570333033247e-05,6.509386429498417e-09,724.3686331289913,28.84509004172863,0.01233078565390386
-58307462.652763635,221722674297.1235,0.21307613530484643,1.124487860400156e-05,3.78305415075731e-09,1144.901259712072,26.435856647517603,0.016912115227980147
-77627313.75363378,216518384993.95197,0.3930368766827219,6.6169884644155535e-06,4.764217362166709e-09,1032.3593954993946,22.17207022364785,0.011814605832798855
-57144393.07362078,229404577065.68414,0.37822386767615823,8.946284435532973e-06,6.013446210668692e-09,768.8741080309636,23.44605523900637,0.013356015983389985
-73931341.86999357,171534739220.63718,0.33748051393596123,1.065888907759648e-05,5.233126210590324e-09,818.4934927782572,25.67360284909924,0.009953191038120639
-71492069.30024114,155698475304.06827,0.36753304589659874,1.3257944623087801e-05,6.420187053776281e-09,994.9721379677419,19.589540894849506,0.011358473089930494
-72778795.52738601,230304268226.41074,0.2313192040398422,1.0750095070292002e-05,6.512270101059738e-09,951.3997334223034,26.953920426958668,0.013190781651925861
-60793181.29506858,158713861654.9899,0.38837423756538647,7.335862969384208e-06,5.632506455995787e-09,840.9579733186126,18.932259904946815,0.015835222580307225
-59193821.27654809,240864266455.44455,0.21089920865026024,1.113815368613183e-05,3.6882368457623255e-09,941.1111956592708,28.07481337299612,0.01036822538867669
-92179294.15746379,153122130350.20508,0.20539266405071288,9.614741930679784e-06,5.353005810076267e-09,862.5642838147701,25.732473901426495,0.013514998720495506
-53885917.05581068,180117387449.20367,0.2455561164120964,9.582109312531138e-06,5.06138023955058e-09,833.9044680813547,27.623483460970764,0.012587195570332645
-76761524.64137156,219189791953.31873,0.25305918515405496,1.0927342366661856e-05,6.373619741299003e-09,921.0846871278345,16.494745430319423,0.015664013891854428
-72186492.75444202,248372353226.83505,0.23846068281502528,1.0577776535165282e-05,5.658301274622906e-09,928.8702452208081,16.774295035720037,0.011928222571661774
-53837308.35028449,255158662524.8093,0.22905076170177752,9.456992021928659e-06,5.652157833990244e-09,803.8492002395194,28.976186882543168,0.017431961077099684
-83478236.64966968,183767867287.20117,0.39883479126832044,7.732271537244387e-06,4.9429694060332835e-09,772.8777240401681,16.93669915679573,0.014150997391237517
-86459769.30634771,193474633692.23453,0.23614184926052434,1.3383262258788014e-05,3.903479836621125e-09,1034.9255437152742,18.959588565339512,0.012841140549531446
-55737376.62127606,159090113339.38666,0.3345160181318999,1.2194179546169067e-05,5.686205066052135e-09,677.4483345218267,24.129836041853537,0.01621878205101383
-75037065.65414621,167807149240.31787,0.2874778694281883,1.1090233361714266e-05,4.800823453922107e-09,759.7267208442141,20.311025304337363,0.009844467291684342
-86357997.4050623,174059770895.3086,0.3579813966443353,1.233283198969326e-05,6.466837932465996e-09,669.3389433121117,29.68750670407003,0.010777768463563799
-53921666.85648905,160049821181.95255,0.28997155747974757,1.0138606574511848e-05,3.4681925243264005e-09,956.4096967783304,18.283225670527486,0.009953824815918295
-90299611.23363698,188939341203.71014,0.22136522074032805,6.668018715933768e-06,3.5118577945897032e-09,904.58714325501,24.792404276041445,0.014197641361057728
-74373247.27949461,174641071379.73248,0.2989490140358507,1.1172140382474495e-05,5.8362358081457645e-09,696.4900871387432,28.90407981893308,0.017152251465490716
